samples	response
Bp9668_Bp9869_MSHR11675WGS_ST459	0
Bp9735_Bp9815_MSHR12111WGS_ST36	1
Bp9638_Bp9844_MSHR8970WGS_ST36	0
Bp12025_MSHR14471_ST1699	0
Bp12027_MSHR13250_ST1877	0
Bp9673_Bp9874_MSHR11761WGS_ST843	0
Bp12053_MSHR13627_ST1763	0
Bp9701_Bp9760_MSHR5998WGS_ST144	0
Bp9719_Bp9774_MSHR11594WGS_ST36	0
Bp0047_Bp0047_2002721741_ST84	1
Bp0114_Bp0114_DL46_ST180	0
Bp8892_ST1005	1
Bp12047_MSHR13049_ST1763	0
Bp9630_Bp9836_MSHR5937WGS_ST36	1
Bp9614_Bp9820_MSHR4306WGS_ST1044	0
Bp6271_Bp6271_MSHR142_ST280	1
Bp8849_Bp9805_MSHR9436WGS_ST109	0
Bp0622_Bp0622_RF49-BP5_ST309	1
Bp0099_Bp0099_DL32_ST507	0
Bp0046_Bp0046_2002721784_ST84	0
Bp6284_Bp6284_MSHR1950_ST1074	1
Bp9626_Bp9832_MSHR5933WGS_ST36	1
Bp8052-P20_Bp8052-P20L1_MSHR5930WGS_ST36	0
Bp10068_ST297	1
Bp9734_Bp9814_MSHR11603WGS_ST36	1
Bp8838-P20_Bp8838-P20L1_7406_ST325	1
Bp0048_Bp0048_H0929_ST92	0
Bp0036_Bp0036_2002721639_ST9	0
Bp8783_Bp8783_MSHR4033WGS_ST109	0
Bp0624_Bp0624_RF49-BP7_ST9	1
Bp0054_Bp0054_2002721787_ST84	0
Bp12054_MSHR13628_ST1763	0
Bp9732_Bp9813_MSHR11527WGS_STnovel	1
Bp12056_MSHR13630_ST1763	1
Bp9665_Bp9866_MSHR11597WGS_ST36	1
Bp0078_Bp0078_DL13_STnovel	0
Bp9720_Bp9775_MSHR11629WGS_ST144	1
Bp9641_Bp9846_MSHR9448WGS_ST109	1
Bp0938_Bp0938_RF68-BP5_STnovel	0
Bp8885_Bp8885_INT2-BP12_ST58	1
Bp8867_Bp8867_Bp1761_ST58	1
