	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_criterion	param_max_depth	param_max_features	param_min_samples_split	param_n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score	Iteration
0	1.3239547252655028	0.03223293890563394	0.04610416889190674	0.0039415278064465755	gini	60		3	1700	{'criterion': 'gini', 'max_depth': 60, 'max_features': None, 'min_samples_split': 3, 'n_estimators': 1700}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
1	1.4625303030014039	0.02620469140504801	0.052710676193237306	0.007367735980270499	gini	60		3	1850	{'criterion': 'gini', 'max_depth': 60, 'max_features': None, 'min_samples_split': 3, 'n_estimators': 1850}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
2	1.578529691696167	0.027833799376775416	0.05367293357849121	0.004247287078521008	gini	60		3	2000	{'criterion': 'gini', 'max_depth': 60, 'max_features': None, 'min_samples_split': 3, 'n_estimators': 2000}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
3	1.3414402961730958	0.04217131323344836	0.04917201995849609	0.004661741889698351	gini	60		2	1700	{'criterion': 'gini', 'max_depth': 60, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 1700}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
4	1.450589942932129	0.02275237106773459	0.049936747550964354	0.003856075484348737	gini	60		2	1850	{'criterion': 'gini', 'max_depth': 60, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 1850}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
5	1.571714162826538	0.03271113529601652	0.053176140785217284	0.005431651976422297	gini	60		2	2000	{'criterion': 'gini', 'max_depth': 60, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 2000}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
6	1.3364639043807984	0.030711978430084212	0.04867861270904541	0.0048457716508983895	gini	60		2	1700	{'criterion': 'gini', 'max_depth': 60, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 1700}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
7	1.4475801706314086	0.03759024313854005	0.05004570484161377	0.004600194815510458	gini	60		2	1850	{'criterion': 'gini', 'max_depth': 60, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 1850}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
8	1.6017483949661255	0.04668895109318874	0.05956323146820068	0.009183275333506996	gini	60		2	2000	{'criterion': 'gini', 'max_depth': 60, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 2000}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
9	1.375776720046997	0.08631528668986917	0.055794286727905276	0.013014382756361551	gini	60	0.25	3	1700	{'criterion': 'gini', 'max_depth': 60, 'max_features': 0.25, 'min_samples_split': 3, 'n_estimators': 1700}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
10	1.648814868927002	0.09678275847748376	0.06384155750274659	0.0177124221419656	gini	60	0.25	3	1850	{'criterion': 'gini', 'max_depth': 60, 'max_features': 0.25, 'min_samples_split': 3, 'n_estimators': 1850}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
11	1.7193363904953003	0.12991317743062275	0.05761423110961914	0.00804242867559786	gini	60	0.25	3	2000	{'criterion': 'gini', 'max_depth': 60, 'max_features': 0.25, 'min_samples_split': 3, 'n_estimators': 2000}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
12	1.4657662153244018	0.04801920221177789	0.044565868377685544	0.004183267357743844	gini	60	0.25	2	1700	{'criterion': 'gini', 'max_depth': 60, 'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 1700}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
13	1.5792081356048584	0.07280407665305508	0.051395845413208005	0.0064332883535164935	gini	60	0.25	2	1850	{'criterion': 'gini', 'max_depth': 60, 'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 1850}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
14	1.592169165611267	0.08329349576367792	0.06000070571899414	0.0068805938007964465	gini	60	0.25	2	2000	{'criterion': 'gini', 'max_depth': 60, 'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 2000}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
15	1.3667870998382567	0.023527057601055966	0.04865243434906006	0.004501803495594734	gini	60	0.25	2	1700	{'criterion': 'gini', 'max_depth': 60, 'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 1700}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
16	1.4689265966415406	0.054252994388150816	0.05522966384887695	0.010630094622101066	gini	60	0.25	2	1850	{'criterion': 'gini', 'max_depth': 60, 'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 1850}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
17	1.5805206060409547	0.03933105650138942	0.055140113830566405	0.005458290987913853	gini	60	0.25	2	2000	{'criterion': 'gini', 'max_depth': 60, 'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 2000}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
18	1.3737072229385376	0.033631275975726266	0.045435619354248044	0.0029452567839405243	gini	35		3	1700	{'criterion': 'gini', 'max_depth': 35, 'max_features': None, 'min_samples_split': 3, 'n_estimators': 1700}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
19	1.4942710399627686	0.038432870661994814	0.05563445091247558	0.006915433570712331	gini	35		3	1850	{'criterion': 'gini', 'max_depth': 35, 'max_features': None, 'min_samples_split': 3, 'n_estimators': 1850}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
20	1.8153664112091064	0.08098472372755344	0.05694479942321777	0.008814546233788259	gini	35		3	2000	{'criterion': 'gini', 'max_depth': 35, 'max_features': None, 'min_samples_split': 3, 'n_estimators': 2000}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0
